Cyclists Names,Trip Name,Tagline,No. of riders,Male / Female,Nationalities,Start,Finish,Duration (months),Ongoing,Cost per person (original currency),Cost per person (GBP£),Total distance (km),Total distance miles,"Average monthly distance (km, calculated)",Cost per km (calculated),Cost per month (calculated),Type of bike,Bicycle make/model,Gears,Handlebars,Brakes,Wheel size,Luggage,What footwear/pedals did you use?,Europe,Africa,Australasia,North America,South America,Asia,Parts of Asia,Round-the-world,Website,Route map,Kit list,Titles,Buy (UK),Buy (World)
Sean Conway,World Cycle 2012,Competed in first ever Global Bicycle Race with the intention of going for the world record for fasted circumnavigation by bike.,1,Male only,British,Feb-12,Jul-12,"0 yrs, 5 m",No,"£15,000","£15,000",26000,16156,"5,200",£0.58,"£3,000",Touring bike,Thorn Mercury,Internal (hub) gears,Straight with tri bars for comfort,Rim,700c,Series of frame and saddle bags,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,Yes,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,SeanConway.com,,Kit List,World Cycling Stripped Bare,Buy Now (UK),Buy Now (World)
Paulius Kemesis,Nomad Touring,Cycling South America and more.,1,Male only,Lithuanian,Feb-11,Jul-12,"1 yrs, 5 m",No,,,21000,13049,"1,235",,,Touring bike,Thorn Raven Nomad Mk2,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,Yes,Yes,No,,No,,,,,,
Patrick Mottram and Laura Mottram,South American loop,"In May 2011 we set off on a trip to pedal around South America. Over the next 15 months we cycled more than 21,000km through every country on the continent",2,Male and female,British,May-11,Jul-12,"1 yrs, 2 m",No,"£8,000","£8,000",21120,13123,"1,408",£0.38,£533,Touring bike,Thorn Nomad MK2,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,Yes,No,,No,www.pedallingabout.com,Map,Kit List,Ipanema Turtles,Buy Now (UK),Buy Now (World)
Peter and Ian,Pete and Ian Hit the Road,"USA Pacific coast, New Zealand, Brisbane to Melbourne, USA Trans Am, Berlin to Leeds.",2,Male only,,Aug-11,Aug-12,"1 yrs, 0 m",No,,,16090,9998,"1,463",,,Touring bike,Ridgeback Voyage,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,Yes,Yes,No,No,,Yes,peteandianhittheroad.co.uk,,,,,
Morrigan McCarthy and Alan Winslow,The Geography of Youth,"Documenting the lives of Millennials around the world. North to South America, then a loop around Europe and Morocco. Trip ended early due to injury.",2,Male and female,American,Jul-11,Aug-12,"1 yrs, 1 m",No,,,35000,21748,"2,500",,,Touring bike,Waterford Custom,External gears,Drop bars (racing style),Disc,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,Yes,Yes,No,,No,geographyofyouth.org,,,,,
Ian Lacey,350South,"A journey from the northernmost point accessible by road in the Americas - Prudhoe Bay, Alaska - to the southernmost city in the world, Ushuaia, Tierra del Fuego, Argentina.",1,Male only,Irish,Jul-11,Oct-12,"1 yrs, 3 m",No,"$14,000","£8,520",27300,16963,"1,820",£0.31,£568,Touring bike,Surly Long Haul Trucker,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,Yes,No,,No,350South.org,,,American Revolutions (coming soon),,
Rick Arnett,All over US Tour 2012,"Did 8000km Yorktown, VA--San Francisco--Portland, OR in 2011, solo, self-contained, wanted to see more, so I selected a route that was kind of down and up and down and all around the Continental US",1,Male only,American,Apr-12,Nov-12,"0 yrs, 7 m",No,"$3,500","£2,130",14500,9010,"2,071",£0.15,£304,Touring bike,Kona Sutra,External gears,Drop bars (racing style),Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,,,,,,
Roger & Dee,Rog & dee cycle round the world,An incredible journey giving us the chance to meet fabulous people and amaging places.,2,Male and female,British,Apr-10,Nov-12,"2 yrs, 7 m",No,,,25000,15534,806,,,Touring bike,Custom Sanderson,Internal (hub) gears,North road,Disc,"26""","Front rack, Back rack, Trailer",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,Yes,"Middle East, Central Asia, South East Asia, China",Yes,afistfulofgears.co.uk,,,,,
Eleanor Moseman,Wander Cyclist,"Wandering around Asia photographing hidden communities, disappearing traditions, and persecuted minorities.",1,Female only,American,May-10,Nov-12,"2 yrs, 6 m",No,"$7,500","£4,565",26000,16156,867,£0.18,£152,Touring bike,Soma Saga,External gears,Butterfly,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,No,Yes,"Central Asia, China",No,wandercyclist.com,,,"Life on the Tibetan Plateau, A Very Windy Road Along the Border of Sichuan and Tibet",Buy Now (UK),Buy Now (World)
Shane Little,Shane Cycles Africa and more...,One year cycling in Africa plus various other trips,1,Male only,British,Nov-11,Nov-12,"1 yrs, 0 m",No,"$1,000",,11000,6835,846,,,Touring bike,Custom buildt M-gineering,Internal (hub) gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,Yes,No,No,No,No,,No,shanecycles.com,,,,,
Robert Halkett,Robsbikeride,"I was brave, I faced my fears but above all I lived my dreams.",1,Male only,British,Oct-07,Dec-12,"5 yrs, 2 m",No,,,45,28,,,,Touring bike,Koga Signature,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,Robsbikeride.com,,,,,
Juliana Buhring,First Woman World Cycle,The first woman's Guinness World Record for fastest circumnavigation of the globe by bicycle.,1,Female only,Italian,Jul-12,Dec-12,"0 yrs, 5 m",No,20000,"£16,807",29060,18057,"5,812",£0.58,"£3,361",Road/racing bike,Schiano road bike,External gears,Drop bars (racing style),Rim,700c,small attachable Revelate saddlebag under seat,Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,julianabuhring.com,,,,,
Thomas Grosserichter,GWR - World Circumnavigation,"Berlin to Eastern Europe, South East Asia, Australia & NZ, Canada - Guatemala, Ecuador to Buenos Aires, back from Lisbon to Berlin.",1,Male only,German,Sep-12,Dec-12,"0 yrs, 3 m",No,,,29019,18032,"9,673",,,Road/racing bike,Steel framed roadbike - custom made,External gears,Drop bars (racing style),Rim,700c,support vehicle,Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,Yes,Yes,South East Asia,Yes,www.cyclingtheworld.de,Map,,,,
David Piper,Tra-velo-gue,Making an around the world cycle accessible by riding in stages,1,Male only,British,Jun-03,Jan-13,"9 yrs, 7 m",No,"£20,000","£20,000",30000,18641,261,£0.67,£174,Touring bike,Seven Custom,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""",Back rack,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,tra-velo-gue.co.uk,,,Travelogue,Buy Now (UK),Buy Now (World)
Robin & Olivia,Wecycletour: Bali to Beijing,Travelling Bali to Beijing by bike.,2,Male and female,British,Nov-11,Jan-13,"1 yrs, 2 m",No,"£7,000",,16000,9942,"1,143",,,Mountain bike,Giant Rock,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,No,Yes,"South East Asia, China",No,www.wecycletour.blogspot.com,,,,,
"Ryan McAfee, Michelle Cassel",America Bycycle: TransAmazing! and America ByCycle: Coast Protocol,"2 trips in 2 years, across America from East to West, then North to South!",2,Male and female,American,Jun-11,Jan-13,"0 yrs, 10 m",No,"$5,000","£3,043",12000,7456,"1,200",£0.25,£304,Touring bike,Surly Long Haul Truckers,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,No,No,,No,americabycycle.com,,,,,
Eric and Lydie,Un tour en vélo,To New Zealand and back with as little plane as possible (600 km total),2,Male and female,French and Swiss,Mar-10,Jan-13,"2 yrs, 10 m",No,"£42,246","£35,501","41,000",25476,"1,171",£0.87,"£1,014",Touring bike,Aarios,External gears,Bull bars,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,Yes,No,Yes,Yes,"Central Asia, South East Asia, China",Yes,www.untourenvelo.ch,Map,,,,
Moritz Koch,Africa 2012/2013,Africa north to south on the east side with preparations in Turkey,1,Male only,German,Oct-12,Apr-13,"0 yrs, 6 m",No,1400,"£1,176",12000,7456,"2,000",£0.10,£196,Touring bike,Pegasus,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,Yes,No,No,No,Yes,Turkey,No,,,,,,
Markus Weber,For a coffee to Togo,For a coffee to Togo,1,Male only,German,Jul-12,May-13,"0 yrs, 10 m",No,8500,"£7,143",14036,8722,"1,404",£0.51,£714,Touring bike,Velotraum,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,Yes,,No,http://4coffee2togo.com,,,,,
Jude Kriwald,England To India,"England To India via Afghanistan, the Pamirs and Tibet (midwinter).",1,Male only,British,Jun-12,Jul-13,"1 yrs, 1 m",No,"£2,500","£2,500",17000,10563,"1,308",£0.15,£192,Touring bike,Surly Long Haul Trucker,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,EnglandToIndia.com,,,,,
James Desmond,Bike to the Future,"21,000km through 27 countries London to Sydney.",1,Male only,British,Jul-12,Jul-13,"1 yrs, 0 m",No,"£10,000","£10,000",21000,13049,"1,750",£0.48,£833,Touring bike,Surly Long Haul Trucker,External gears,Butterfly,Rim,"26""","Front rack, Back rack",Keen Sandals,Yes,No,Yes,No,No,Yes,"Middle East, Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,jamesdesmond.com,Map,Kit List,,,
Jilly Sherlock,Sherlock Tales,Cycling distractedly around the world in an easterly direction most of the time,1,Female only,British,Apr-11,Jul-13,"2 yrs, 3 m",No,"£6,000","£6,000",33000,20505,"1,222",£0.18,£222,Touring bike,Thorn Raven,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals",Yes,No,Yes,No,Yes,Yes,"Central Asia, South East Asia, China",Yes,sherlocktales.blogspot.com,,,,,
"Andreas Tridimas, Chris Tucker, Lucas Russo, Patrick De Barr",Cycling Doctors- South America 2013,"Four british doctors cycling from the bottom to the top of south america in under six months, raising money for four different charities.",4,Male only,British,Feb-13,Jul-13,"0 yrs, 5 m",No,"£3,000","£3,000",11546,7174,"2,309",£0.26,£600,Touring bike,Koga Worldtraveller,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,Yes,No,,No,cycling-doctors.com,,,,,
Natalie Simpson & Matthew Grant,Riding out the recession,Riding out the recession from London to Sydney,2,Male and female,"British, New Zealander",Jun-12,Jul-13,"1 yrs, 1 m",No,"£7,500","£7,500",19525,12132,"1,395",£0.38,£536,Touring bike,Surly Long Haul Trucker,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,www.canvasandwheels.com,,,,,
Andy Purkis,Bangkok to Beijing,"Bangkok to Beijing, taking a long and scenic route",1,Male only,British,Jan-13,Aug-13,"0 yrs, 7 m",No,"£3,000","£3,000",13600,8451,"1,943",£0.22,£429,Touring bike,Surly Ogre,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Disc,700c,"Frame bag, seat post bag and bar roll",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,No,Yes,"South East Asia, China",No,www.bangkoktobeijing.weebly.com,,,,,
"Richard Clark, Thamar Houliston",Beyondthewall,"Unpredictable, epic, unforgettable.",2,Male and female,South African,Feb-12,Aug-13,"1 yrs, 6 m",No,"$5,000","£3,043",5500,3418,306,£0.55,£169,Mountain bike,Steel frame old Giant,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,No,Yes,"South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China, Tibet",No,beyondthewall.co.za,,,,,
Steven Primrose-Smith,UniCycle50,To visit 50 capital cities of Europe while studying for a couple of degrees and eating as much weird food as possible (and then adding a couple of extra capitals on along the way).,1,Male only,British,Mar-11,Aug-13,"2 yrs, 5 m",No,22000,"£18,487",35528,22076,"1,225",£0.52,£637,Touring bike,KTM,External gears,Bull bars,Rim,700c,"Back rack, Bar bag/Rucksack for a while","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,Turkey,No,www.UniCycle50.com,Map,,No Place Like Home,Buy Now (UK),Buy Now (World)
Tauru Chaw and Christi Bruchok,Two Blind to Ride the Americas,Southern tip of South America to the northern tip of North America to raise awareness about the abilities of the visually impaired. (We are both legally blind.),2,Male and female,American,Dec-11,Aug-13,"1 yrs, 8 m",No,"$9,000","£5,477",26000,16156,"1,238",£0.21,£261,Tandem,Cannondale,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack, Trailer",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,twoblindtoride.org,,,,,
Adam and Beth,West From Japan,"Japan to Ireland via China, Central Asia, and Europe",2,Male and female,American,Jul-12,Aug-13,"1 yrs, 1 m",No,"$9,065.92","£5,518",15042,9347,"1,157",£0.37,£424,Touring bike,Surly Long Haul Trucker,External gears,Drop bars (racing style),Rim,"700c on one bike and 26"" on the other","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Central Asia, China",No,http://www.crazyguyonabike.com/doc/westfromjapan,Map,Kit List,,,
"Morgan Monchaud, Siphay Vera, Brian Mathé, Etienne Houlès & Bertrand Dolci",Solidream,Round the world trip of three years as a group of friends on all the continents,5,Male only,French,Aug-10,Aug-13,"3 yrs, 0 m",No,20000,"£16,807",54000,33554,"1,500",£0.31,£467,Touring bike,Surly Long Haul Trucker,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,Yes,Yes,Yes,Yes,"Central Asia, South East Asia, China",Yes,solidream.net,,,,,
Matthew Blake,Cycling to every Major League Baseball ballpark,"100 miles per day, trying to watch a game of baseball in 30 Major League Ballparks",1,Male only,British,Mar-13,Sep-13,"0 yrs, 6 m",No,"£5,000","£5,000",17000,10563,"3,400",£0.29,"£1,000",Road/racing bike,Planet - X Kaffenbach,External gears,Drop bars (racing style),Rim,700c,Back rack,Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,worldwidebikeride.com,Map,Kit List,I'll Be Home Just After Christmas,Buy Now (UK),Buy Now (World)
Raf Polus,Cycling To Mongolia,Belgium to Mongolia through Central-Asia and Siberia with focus on wintertouring,1,Male only,Belgian,Nov-12,Sep-13,"0 yrs, 10 m",No,4500,"£3,782",17200,10688,"1,720",£0.22,£378,Touring bike,FahradManufaktur T400 SLX,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Central Asia, Siberia, Mongolia",No,cyclingtomongolia.wordpress.com,,,,,
Thomas Bramall,,Nordcapp to Athens. Athens to the UK. Wild camping.,1,Male only,British,Jun-13,Oct-13,"0 yrs, 4 m",No,"£2,000","£2,000",10000,6214,"2,500",£0.20,£500,Touring bike,Surly Disc Trucker,External gears,Drop bars (racing style),Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,No,,No,,,,,,
Stephan Schreckenbach,Cycling Eurasia,27000km from Germany to Bali,1,Male only,German,May-12,Nov-13,"1 yrs, 6 m",No,10000,"£8,403",27000,16777,"1,500",£0.31,£467,Touring bike,Fahrradmanufaktur,External gears,Bull bars,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, Central Asia, South East Asia, China",No,www.cyclingeurasia.com,,,,,
Tom Cartledge & Rhys James,Saddle Sore 2013,"Two non cyclists on old bikes, using cycling as a mode of transport and passage to adventure: England to India.",2,Male only,,Mar-13,Nov-13,"0 yrs, 8 m",No,"£3,500","£3,500",15000,9321,"1,875",£0.23,£438,Hybrid,Mongoose 350,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""",Back rack,"Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), Caucasus - Georgia, Armenia, Iran",No,saddlesore.moonfruit.com,,,,,
Neil Dallaway,Cycling home from New Zealand,Flying as far away from home as possible with a loaded touring bike ... going as far east in the southern hemisphere as I could ... and taking a year to get home.,1,Male only,British,Nov-12,Nov-13,"1 yrs, 0 m",No,"£10,000","£10,000",28855,17930,"2,405",£0.35,£833,Road/racing bike,Thorn Raven Tour,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,No,No,Yes,"Middle East, Central Asia, South East Asia, China",Yes,www.cycleeatsleep.blogspot.co.uk,,,,,
Dave Conroy,Around the world since 2009,"In 2009 I quit my job working with computers, sold everything I owned and bought a bicycle setting forth for a round the world journey.",1,Male only,,Jul-09,Ongoing,"4 yrs, 4 m",Yes,,,41230,25619,793,,,Touring bike,Thorn Nomad MKII,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Hiking Boots with PowerGrips Straps,No,Yes,No,Yes,No,No,,Yes,www.tiredofit.ca,Map,Kit List,Tired of I.T! - How I learned to stop worrying and love the Bicycle,Buy Now (UK),Buy Now (World)
Dave Gill,Vague Direction,"A loop of North America by bicycle, meeting fascinating and unique people along the way and making a book about peoples lifestyle choices.",1,Male only,,Nov-12,Nov-13,"1 yrs, 0 m",No,"£6,000","£6,000",19000,11806,"1,583",£0.32,£500,Touring bike,Trek 7.5FX,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,vaguedirection.com,,,Vague Direction (coming soon),,
Reza Pakravan & Steven Pawley,Kapp to Cape,"World record attempt to cycle the length of the planet from Nordkapp, Norway (the northern most point in Europe) to Cape Town, South Africa.",2,Male only,Iranian (Reza) & South African (Steven),Aug-13,Nov-13,"0 yrs, 3 m",No,,,"18,000",11185,"6,000",,,Touring bike,Koga Signature Series,Internal hub (Reza); External (Steven),Butterfly,Disc,700c,Back rack,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,Yes,Russia,Yes,http://www.kapptocape.com/,Map,,Kapp to Cape,Buy Now (UK),Buy Now (World)
Nat Faulkner,2013 bike tour,The older I am getting (age 34/35 on that trip) the less I care to publicize my trips and look for sponsorship and the more I prefer drinking local wine and spirits with locals.,1,Male only,Canadian,Jan-13,Nov-13,"0 yrs, 10 m",No,"$8,000","£4,869",23600,14664,"2,145",£0.21,£443,Touring bike,trek sawyer / changed to tout terrain metropolis,Internal (hub) gears,Drop bars (racing style),Disc,"26""",Trailer,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,Yes,No,Yes,3 days in Turkey,No,,,,,,
Joakim & Wej,From Home to Home,"Discovering what people and views we don´t get to see when flying between our two home cities, Gothenburg and Bangkok.",2,Male and female,Swedish & Thai,Feb-13,Dec-13,"0 yrs, 10 m",No,"£6,000","£3,652","16,500",10253,"1,833",£0.22,£406,Touring bike,Thorn Sherpa & Trek 4500,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, Central Asia, South East Asia, China",No,www.cyclinghome.nu,Map,Kit List,,,
"Amaya Williams, Eric Schambion",World Biking,"An ongoing quest to cycle every country on the planet. Since 2006, we've biked 96 countries on 6 continents.",2,Male and female,,Jun-06,Ongoing,"7 yrs, 6 m",Yes,"$40,000","£24,344",147210,91472,"1,636",£0.17,£270,Touring bike,Koga World Traveller,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals",Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,worldbiking.info,,,,,
Robbie Sage,Global Guitar,Round the world with a guitar,1,Male only,British,Feb-11,Ongoing,"2 yrs, 10 m",Yes,"$15,000","£9,129",25000,15534,735,£0.37,£269,Mountain bike,Orange P7,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""","Front rack, Back rack, Trailer","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,Yes,No,Yes,"Middle East, Central Asia, South East Asia, China",Yes,globalguitarcycle.com,,,,,
Max Goldzweig and Emily Conradi,Cycling to China,London to Vietnam vis Cental Asia and China,2,Male and female,British,Mar-13,Dec-13,"0 yrs, 9 m",No,"$7,200","£7,200",14000,8699,"1,556",£0.51,£800,Touring bike,Thorn raven nomad mk2,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Middle East, Central Asia, South East Asia, China",No,Www.cyclingtochina.com,,,,,
Thomas Andersen,Cycling The Globe,"4 years, 40000 km, 40 countries around the world.",1,Male only,,Oct-10,Ongoing,"3 yrs, 2 m",Yes,"$20,000","£12,172",20500,12738,539,£0.59,£320,Road/racing bike,Bianchi Via Nirone,External gears,Drop bars (racing style),Rim,700c,Back rack,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,No,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,cyclingtheglobe.com,Map,Kit List,,,
Andy Madeley & Matt McDonald,The Cycle Diaries,A world cycling adventure for War Child,2,Male only,British,Aug-11,Ongoing,"2 yrs, 4 m",Yes,"£5,000","£5,000",20000,12427,714,£0.25,£179,Touring bike,Van Nicholas Pioneer,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,Yes,Yes,"Central Asia, South East Asia, China",Yes,thecyclediaries.com,,,,,
Betzgi,Gone Riding,Started this trip with cycling across the African continent. Will continue in Asia (India) with no current plan when to finish.,1,Male only,,Sep-12,Ongoing,"1 yrs, 3 m",Yes,,,28000,17398,"2,000",,,Touring bike,"MTB Cycletech, Papalagi",External gears,Butterfly,Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,Yes,No,No,No,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,betzgi.ch/en,Map,Kit List,,,
Dean McMenamin,Ireland to Nepal (maybe to NZ),8 months cycling from Ireland to India heading towards Nepal and maybe SE Asia and NZ in the new year.,1,Male only,Irish,Apr-13,Ongoing,"0 yrs, 8 m",Yes,€ 5-10 / day average,,12000,7456,"1,500",,,Touring bike,Surly Long Haul Trucker,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,deanmcmenamin.com,,,,,
Dominic Luther,OneBikeOneWorld,2.5 years into a who knows how long bike ride to somewhere,1,Male only,British,May-11,Ongoing,"2 yrs, 7 m",Yes,$10 / day average,,51112,31760,"1,649",,,Touring bike,Thorn Raven,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,Yes,onebikeoneworld.com,Map,Kit List,,,
Chris Hussey and Melanie Newman,youjustpedal,"A Brit and a Kiwi attempt to cycle from the world's most southerly city - Ushuaia - to Prudhoe Bay, Alaska",2,Male and female,"British, New Zealand",Dec-12,Ongoing,"1 yrs, 0 m",Yes,"$15,000","£9,129",22000,13670,"1,833",£0.41,£761,Touring bike,Vivente World Randonneur,External gears,Butterfly,Disc,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,Yes,No,,No,youjustpedal.com,,,,,
Leana Niemand,Around the world,Ambling around.,1,Female only,South African,Mar-07,Ongoing,"6 yrs, 9 m",Yes,,,100000,62137,"1,235",,,Mountain bike,Merida frame,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",Yes,eananiemand.org.za,,,,,
Dorothee Fleck,Second round the world trip,Second round the world trip,1,Female only,German,Feb-12,Ongoing,"1 yrs, 10 m",Yes,Don't know,,38300,23799,"1,741",,,Touring bike,"Velotraum, customized bike",Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,No,Yes,Yes,"Central Asia, China, Philippines",Yes,dorothee-fleck.com,,,,,
Eric Alarie,Crazy Laowai En Vélo,"Biking East to West in Asia, South to North in Africa!",1,Male only,Canadian,Feb-13,Ongoing,"0 yrs, 10 m",Yes,"$5,800","£3,530",15500,9631,"1,550",£0.23,£353,Touring bike,Marin Four Corner,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,Yes,No,No,No,Yes,"Middle East, Central Asia, China",No,crazylaowaienvelo.wordpress.com,Map,,,,
Regis,Live and Cycle through Europe,Want to see how is the life in other countries,1,Male only,French,Mar-13,Ongoing,"0 yrs, 9 m",Yes,5000,"£4,202",10000,6214,"1,111",£0.42,£467,city bike,Btwin 5,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,No,,No,,,,,,
